fighter,date_of_birth,tuf,r2ufc,dwcs,pride,sf,wec,bmf,hof,country,gender,weightclass,current_rank,rank_flag,current_p4p,p4p_flag,peak_rank,peak_p4p,bouts,wins,win_types,losses,loss_types,streak,best_streak,bonus,slot,elo,peak_elo,opp_elo,debut,debut_result,prev_bout,prev_result,next_date,next_opp
Miranda Maverick,1997-07-01,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,female,women's flyweight,9,NA,16,NA,9,16,12,8,1 KO 2 Sub 5 Dec,4,0 KO 0 Sub 4 Dec,-1,4,0,8.2,2800,2895,2608,2020-10-24,W - Liana Jojua,2025-06-14,L - Rose Namajunas,NA,NA
Islam Dulatov,1998-08-02,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Germany, Russia",male,welterweight,16,NA,16,NA,16,16,1,1,1 KO 0 Sub 0 Dec,0,0 KO 0 Sub 0 Dec,1,1,1,10,2799,2799,2588,2025-07-19,W - Adam Fugitt,2025-07-19,W - Adam Fugitt,NA,NA
Keiichiro Nakamura,1998-12-02,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Japan,NA,,16,NA,16,NA,16,16,0,NA,NA,NA,NA,NA,NA,NA,NA,2799,NA,NA,NA,NA,NA,NA,NA,NA
Casey O'Neill,1997-10-07,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Australia, Scotland",female,women's flyweight,11,NA,16,NA,10,16,8,6,3 KO 1 Sub 2 Dec,2,0 KO 1 Sub 1 Dec,2,4,1,8.4,2796,2796,2612,2021-02-20,W - Shana Dobson,2026-03-28,W - Gabriella Fernandes,NA,NA
Brando Pericic,1994-08-03,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Australia, Croatia",male,heavyweight,14,NA,16,NA,14,16,3,3,3 KO 0 Sub 0 Dec,0,0 KO 0 Sub 0 Dec,3,3,2,9,2794,2794,2612,2025-09-28,W - Elisha Ellison,2026-05-02,W - Shamil Gaziev,NA,NA
Claudio Puelles,1996-04-21,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Peru,male,lightweight,16,NA,16,NA,16,16,9,5,0 KO 3 Sub 2 Dec,4,2 KO 0 Sub 2 Dec,-3,5,2,8.7,2793,3015,2734,2016-11-05,L - Martin Bravo,2025-09-13,L - Joaquim Silva,NA,NA
Loopy Godinez,1993-09-06,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Canada, Mexico",female,women's strawweight,6,NA,16,NA,6,16,15,9,0 KO 2 Sub 7 Dec,6,0 KO 1 Sub 5 Dec,-1,4,1,7.7,2793,2827,2650,2021-04-17,L - Jessica Penne,2026-04-11,L - Tatiana Suarez,NA,NA
Miles Johns,1994-03-30,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,"bantamweight, featherweight",16,NA,16,NA,16,16,12,7,2 KO 0 Sub 5 Dec,5,1 KO 2 Sub 2 Dec,-3,4,2,8,2790,3036,2756,2019-09-14,W - Cole Smith,2025-11-08,L - Daniel Marcos,NA,NA
Darren Elkins,1984-05-16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,featherweight,16,NA,16,NA,9,16,30,19,4 KO 3 Sub 12 Dec,11,4 KO 1 Sub 6 Dec,-1,6,4,7,2790,3086,2766,2010-03-21,W - Duane Ludwig,2025-04-12,L - Julian Erosa,NA,NA
Muhammad Naimov,1994-08-07,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Tajikistan,male,featherweight,16,NA,16,NA,16,16,7,5,2 KO 0 Sub 3 Dec,2,1 KO 1 Sub 0 Dec,-1,3,1,9.4,2790,2888,2767,2023-06-03,W - Jamie Mullarkey,2025-12-06,L - Mairon Santos,NA,NA
Katlyn Cerminara,1988-12-28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,female,women's flyweight,16,NA,16,NA,1,8,17,11,0 KO 0 Sub 11 Dec,6,2 KO 0 Sub 4 Dec,-2,4,1,6.8,2789,3038,2746,2016-07-13,W - Lauren Murphy,2024-03-09,L - Maycee Barber,NA,NA
Axel Sola,1997-09-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,France,male,"lightweight, welterweight",16,NA,16,NA,16,16,2,1,1 KO 0 Sub 0 Dec,1,0 KO 0 Sub 1 Dec,-1,1,1,6,2789,2866,2878,2025-09-06,W - Rhys McKee,2026-03-21,L - Mason Jones,NA,NA
Michel Pereira,1993-10-06,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,middleweight,16,NA,16,NA,13,16,15,10,2 KO 3 Sub 5 Dec,5,2 KO 0 Sub 2 Dec,1,8,6,4.8,2788,3145,2825,2019-05-18,W - Danny Roberts,2026-02-21,W - Zachary Reese,2026-06-27,Shara Magomedov
Jacqueline Cavalcanti,1997-08-29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Portugal,female,women's bantamweight,11,NA,16,NA,10,16,5,5,0 KO 0 Sub 5 Dec,0,0 KO 0 Sub 0 Dec,5,5,0,10.8,2788,2788,2615,2023-09-02,W - Zarah Fairn,2025-11-08,W - Mayra Bueno Silva,2026-05-16,Ketlen Vieira
Michelle Montague,1993-11-25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,New Zealand,female,women's bantamweight,12,NA,16,NA,12,16,2,2,0 KO 0 Sub 2 Dec,0,0 KO 0 Sub 0 Dec,2,2,0,9.5,2788,2788,2634,2025-09-28,W - Luana Carolina,2026-04-25,W - Mayra Bueno Silva,NA,NA
Edson Barboza,1986-01-21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,"lightweight, featherweight",16,NA,16,NA,3,16,32,18,8 KO 1 Sub 9 Dec,14,5 KO 2 Sub 7 Dec,-3,4,13,3.9,2786,3242,2897,2010-11-20,W - Mike Lullo,2025-12-06,L - Jalin Turner,NA,NA
Chidi Njokuani,1988-12-31,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Nigeria, United States",male,welterweight,16,NA,16,NA,16,16,10,5,3 KO 0 Sub 2 Dec,5,2 KO 1 Sub 2 Dec,-2,3,3,5.4,2786,2987,2841,2022-02-05,W - Marc-Andre Barriault,2026-02-21,L - Carlos Leal,NA,NA
Hecher Sosa,1995-08-25,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Spain,male,bantamweight,16,NA,16,NA,16,16,1,1,0 KO 0 Sub 1 Dec,0,0 KO 0 Sub 0 Dec,1,1,0,13,2786,2786,2613,2026-03-14,W - Luan Lacerda,2026-03-14,W - Luan Lacerda,NA,NA
Rei Tsuruya,2002-06-22,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Japan,male,flyweight,16,NA,16,NA,16,16,2,1,0 KO 0 Sub 1 Dec,1,0 KO 0 Sub 1 Dec,-1,1,0,9,2785,2876,2718,2024-06-29,W - Carlos Hernandez,2025-03-08,L - Joshua Van,2026-05-30,Jesus Aguilar
Rinya Nakamura,1995-03-23,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Japan,male,bantamweight,16,NA,16,NA,16,16,5,4,2 KO 0 Sub 2 Dec,1,0 KO 0 Sub 1 Dec,1,3,1,7.6,2783,2825,2601,2023-02-04,W - Toshiomi Kazama,2025-08-02,W - Nathan Fletcher,NA,NA
Cesar Almeida,1988-03-28,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,middleweight,16,NA,16,NA,16,16,5,3,2 KO 0 Sub 1 Dec,2,0 KO 0 Sub 2 Dec,-1,2,2,6.4,2783,2858,2761,2024-04-06,W - Dylan Budka,2025-12-13,L - Cezary Oleksiejczuk,2026-07-11,Damian Pinas
Amanda Lemos,1987-05-22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,female,women's strawweight,7,NA,16,NA,3,9,15,9,3 KO 2 Sub 4 Dec,6,1 KO 2 Sub 3 Dec,-2,5,3,5.4,2780,2989,2814,2017-07-16,L - Leslie Smith,2026-03-14,L - Gillian Robertson,NA,NA
Austin Bashi,2001-09-29,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,featherweight,16,NA,16,NA,16,16,2,1,0 KO 1 Sub 0 Dec,1,0 KO 0 Sub 1 Dec,1,1,0,7.5,2780,2780,2664,2025-01-11,L - Christian Rodriguez,2025-08-02,W - John Yannis,NA,NA
Murtazali Magomedov,1999-08-26,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Kyrgyzstan,male,featherweight,16,NA,16,NA,16,16,0,NA,NA,NA,NA,NA,NA,0,NA,2780,NA,2718,NA,NA,NA,NA,2026-06-20,Melsik Baghdasaryan
Giga Chikadze,1988-08-25,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Georgia,male,featherweight,16,NA,16,NA,7,16,12,8,3 KO 0 Sub 5 Dec,4,1 KO 0 Sub 3 Dec,-3,7,4,5,2779,3127,2887,2019-09-28,W - Brandon Davis,2025-12-13,L - Kevin Vallejos,2026-06-20,Vinicius Oliveira
Jared Gordon,1988-09-06,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,lightweight,16,NA,16,NA,16,16,18,9,3 KO 0 Sub 6 Dec,8,4 KO 2 Sub 2 Dec,-2,3,1,6.6,2779,3032,2825,2017-06-25,W - Michel Quinones,2026-05-09,L - Jim Miller,NA,NA
Ramiro Jimenez,1999-01-16,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Mexico,male,featherweight,16,NA,16,NA,16,16,0,NA,NA,NA,NA,NA,NA,NA,NA,2778,NA,NA,NA,NA,NA,NA,NA,NA
Billy Elekana,1995-05-28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"United States, Samoa",male,light heavyweight,16,NA,16,NA,16,16,4,3,0 KO 2 Sub 1 Dec,1,0 KO 1 Sub 0 Dec,3,3,0,7.8,2775,2775,2653,2025-01-18,L - Bogdan Guskov,2026-02-01,W - Junior Tafa,2026-06-06,Iwo Baraniewski
Kaan Ofli,1993-06-19,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Australia, Turkey",male,featherweight,16,NA,16,NA,16,16,4,2,0 KO 1 Sub 1 Dec,2,1 KO 0 Sub 1 Dec,2,2,0,6.2,2773,2773,2698,2024-08-24,L - Mairon Santos,2026-02-01,W - Yizha,NA,NA
Jack Jenkins,1993-11-03,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Australia,male,featherweight,16,NA,16,NA,16,16,6,4,1 KO 0 Sub 3 Dec,2,1 KO 1 Sub 0 Dec,1,2,0,7.8,2769,2837,2707,2023-02-11,W - Don Shainis,2025-09-28,W - Ramon Taveras,NA,NA
Kody Steele,1995-04-21,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,lightweight,16,NA,16,NA,16,16,2,1,0 KO 1 Sub 0 Dec,1,0 KO 0 Sub 1 Dec,1,1,1,11.5,2768,2768,2758,2025-02-08,L - Rongzhu,2026-05-02,W - Dom Mar Fan,NA,NA
Lance Gibson Jr.,1995-02-02,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Canada,male,lightweight,16,NA,16,NA,16,16,2,1,1 KO 0 Sub 0 Dec,1,0 KO 0 Sub 1 Dec,1,1,0,7,2768,2768,2862,2025-12-13,L - King Green,2026-03-28,W - Chase Hooper,NA,NA
Serhiy Sidey,1996-07-04,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Canada, Ukraine",male,bantamweight,16,NA,16,NA,16,16,3,2,0 KO 0 Sub 2 Dec,1,0 KO 0 Sub 1 Dec,2,2,0,8,2767,2767,2620,2024-01-20,L - Ramon Taveras,2025-05-03,W - Cameron Smotherman,NA,NA
Yadier del Valle,1996-07-29,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Cuba,male,featherweight,16,NA,16,NA,16,16,3,2,0 KO 2 Sub 0 Dec,1,0 KO 0 Sub 1 Dec,-1,2,0,8,2767,2895,2632,2025-05-17,W - Connor Matthews,2026-02-21,L - Jordan Leavitt,NA,NA
Santiago Luna,2004-08-06,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Mexico, United States",male,bantamweight,16,NA,16,NA,16,16,2,2,1 KO 0 Sub 1 Dec,0,0 KO 0 Sub 0 Dec,2,2,1,6,2767,2767,2536,2025-09-13,W - Quang Le,2026-02-28,W - Angel Pacheco,NA,NA
Talita Alencar,1990-10-17,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,female,women's strawweight,16,NA,16,NA,16,16,5,4,0 KO 1 Sub 3 Dec,1,0 KO 0 Sub 1 Dec,3,3,0,11.8,2765,2765,2573,2023-12-09,W - Rayanne dos Santos,2026-04-25,W - Julia Polastri,NA,NA
Alden Coria,1998-04-24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,flyweight,16,NA,16,NA,16,16,2,2,1 KO 0 Sub 1 Dec,0,0 KO 0 Sub 0 Dec,2,2,0,10.5,2765,2765,2637,2025-09-13,W - Alessandro Costa,2026-02-21,W - Luis Gurule,NA,NA
Dakota Hope,1997-01-29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,lightweight,16,NA,16,NA,16,16,1,0,0 KO 0 Sub 0 Dec,1,0 KO 0 Sub 1 Dec,-1,-1,0,13,2765,2765,2930,2026-04-04,L - Kai Kamaka III,2026-04-04,L - Kai Kamaka III,NA,NA
Julian Erosa,1989-07-31,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,featherweight,16,NA,16,NA,16,16,18,9,2 KO 4 Sub 3 Dec,9,7 KO 0 Sub 2 Dec,-2,3,2,7.1,2764,2994,2773,2015-12-11,W - Marcin Wrzosek,2026-03-28,L - Lerryan Douglas,NA,NA
Imanol Rodriguez,1999-11-15,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Mexico,male,flyweight,16,NA,16,NA,16,16,1,1,1 KO 0 Sub 0 Dec,0,0 KO 0 Sub 0 Dec,1,1,1,5,2764,2764,2596,2026-02-28,W - Kevin Borjas,2026-02-28,W - Kevin Borjas,2026-06-06,Matt Schnell
Thiago Moises,1995-03-23,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,lightweight,16,NA,16,NA,14,16,16,8,1 KO 3 Sub 4 Dec,8,3 KO 1 Sub 4 Dec,-2,3,2,6.1,2761,3051,2854,2018-11-10,L - Beneil Dariush,2026-04-18,L - Gauge Young,NA,NA
Khaos Williams,1994-03-30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,welterweight,16,NA,16,NA,16,16,10,6,4 KO 0 Sub 2 Dec,4,0 KO 1 Sub 3 Dec,-2,2,4,5.9,2761,3030,2809,2020-02-08,W - Alex Morono,2025-06-07,L - Andreas Gustafsson,2026-05-16,Nikolay Veretennikov
SuYoung You,1995-12-11,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,South Korea,male,bantamweight,16,NA,16,NA,16,16,4,3,0 KO 0 Sub 3 Dec,1,0 KO 1 Sub 0 Dec,-1,3,0,8.8,2760,2883,2684,2024-11-23,W - Baergeng Jieleyisi,2026-03-14,L - Elijah Smith,NA,NA
Gabe Green,1993-05-02,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,"lightweight, welterweight",16,NA,16,NA,16,16,6,3,1 KO 1 Sub 1 Dec,3,1 KO 0 Sub 2 Dec,1,2,0,8.2,2759,2864,2747,2020-05-30,L - Daniel Rodriguez,2025-05-17,W - Matheus Camilo,NA,NA
Rodolfo Bellato,1996-02-05,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,light heavyweight,16,NA,16,NA,16,16,5,2,2 KO 0 Sub 0 Dec,1,0 KO 0 Sub 1 Dec,1,1,2,7.8,2759,2810,2731,2023-12-02,W - Ihor Potieria,2026-03-07,W - Luke Fernandez,2026-05-16,Modestas Bukauskas
Ketlen Souza,1994-08-18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,female,women's strawweight,16,NA,16,NA,16,16,6,3,0 KO 1 Sub 2 Dec,3,0 KO 1 Sub 2 Dec,1,2,1,8.5,2759,2759,2644,2023-06-03,L - Karine Silva,2026-02-07,W - Bruna Brasil,2026-06-06,Ariane Carnelossi
Luana Santos,2000-04-16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,female,women's bantamweight,14,NA,16,NA,13,16,6,5,1 KO 2 Sub 2 Dec,1,0 KO 0 Sub 1 Dec,2,3,0,9.7,2758,2758,2532,2023-08-12,W - Juliana Miller,2025-12-13,W - Melissa Croden,2026-06-20,Karol Rosa
Iwo Baraniewski,1998-11-20,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Poland,male,light heavyweight,16,NA,16,NA,16,16,2,2,2 KO 0 Sub 0 Dec,0,0 KO 0 Sub 0 Dec,2,2,2,8,2754,2754,2603,2025-12-06,W - Ibo Aslan,2026-03-21,W - Austen Lane,2026-06-06,Billy Elekana
Ramiz Brahimaj,1992-11-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Albania, United States, Kosovo",male,welterweight,16,NA,16,NA,16,16,9,5,1 KO 4 Sub 0 Dec,4,1 KO 0 Sub 3 Dec,-1,3,2,8.7,2753,2842,2628,2020-11-07,L - Max Griffin,2026-02-21,L - Punahele Soriano,NA,NA
Mizuki,1994-08-19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Japan,female,women's strawweight,15,NA,16,NA,15,16,4,3,0 KO 0 Sub 3 Dec,1,0 KO 0 Sub 1 Dec,2,2,0,8.5,2751,2751,2576,2019-08-31,W - Yanan Wu,2025-10-25,W - Jaqueline Amorim,NA,NA
Francis Marshall,1999-03-03,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,"lightweight, featherweight",16,NA,16,NA,16,16,7,4,1 KO 1 Sub 2 Dec,3,1 KO 0 Sub 2 Dec,2,2,0,10.1,2750,2750,2598,2022-12-03,W - Marcelo Rojo,2026-04-25,W - Lucas Brennan,NA,NA
Danny Silva,1997-01-30,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Mexico, United States",male,featherweight,16,NA,16,NA,16,16,4,3,1 KO 0 Sub 2 Dec,1,0 KO 0 Sub 1 Dec,1,2,0,7.5,2747,2747,2723,2024-03-16,W - Josh Culibao,2026-03-21,W - Kurtis Campbell,NA,NA
Timmy Cuamba,1999-02-08,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,"bantamweight, featherweight",16,NA,16,NA,16,16,4,2,1 KO 0 Sub 1 Dec,2,0 KO 0 Sub 2 Dec,2,2,0,8,2746,2746,2632,2024-02-10,L - Bolaji Oki,2025-11-01,W - ChangHo Lee,2026-05-16,Benardo Sopaj
Nyamjargal Tumendemberel,1998-03-22,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Mongolia,male,flyweight,16,NA,16,NA,16,16,3,2,0 KO 1 Sub 1 Dec,1,0 KO 0 Sub 1 Dec,2,2,0,11,2743,2743,2552,2024-11-23,L - Carlos Hernandez,2026-03-07,W - Cody Durden,NA,NA
Eric McConico,1990-05-09,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,"middleweight, light heavyweight",16,NA,16,NA,16,16,4,2,0 KO 0 Sub 2 Dec,2,2 KO 0 Sub 0 Dec,1,1,0,10.8,2743,2743,2763,2025-02-22,L - Nursulton Ruziboev,2026-04-25,W - Rodolfo Vieira,NA,NA
Matt Frevola,1990-06-11,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,lightweight,16,NA,16,NA,14,16,12,5,3 KO 0 Sub 2 Dec,6,4 KO 0 Sub 2 Dec,-3,3,1,7.1,2742,3028,2813,2018-01-14,L - Polo Reyes,2025-10-18,L - Kyle Nelson,NA,NA
Nikolas Motta,1993-02-08,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,lightweight,16,NA,16,NA,16,16,7,3,2 KO 0 Sub 1 Dec,3,3 KO 0 Sub 0 Dec,-1,2,2,9,2742,2808,2717,2022-02-19,L - Jim Miller,2025-06-21,L - Nazim Sadykhov,NA,NA
Trey Waters,1995-02-21,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,welterweight,16,NA,16,NA,16,16,3,2,0 KO 0 Sub 2 Dec,1,1 KO 0 Sub 0 Dec,-1,2,1,8.7,2742,2838,2765,2023-04-29,W - Josh Quinlan,2025-09-06,L - Sam Patterson,NA,NA
JJ Aldrich,1992-09-29,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,female,women's flyweight,14,NA,16,NA,14,16,17,11,1 KO 0 Sub 10 Dec,6,1 KO 1 Sub 4 Dec,2,3,0,10.3,2742,2742,2521,2016-12-09,L - Juliana Lima,2026-04-18,W - Jamey-Lyn Horth,NA,NA
JooSang Yoo,1994-01-21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,South Korea,male,featherweight,16,NA,16,NA,16,16,2,1,1 KO 0 Sub 0 Dec,1,1 KO 0 Sub 0 Dec,-1,1,1,9,2740,2814,2714,2025-06-07,W - Jeka Saragih,2025-10-04,L - Daniel Santos,NA,NA
Oumar Sy,1995-11-21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,France,male,light heavyweight,16,NA,16,NA,16,16,5,3,1 KO 1 Sub 1 Dec,2,0 KO 1 Sub 1 Dec,-1,2,0,6.6,2740,2890,2721,2024-05-18,W - Tuco Tokkos,2026-03-14,L - Ion Cutelaba,NA,NA
Evan Elder,1997-04-11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,"lightweight, welterweight",16,NA,16,NA,16,16,5,3,0 KO 1 Sub 2 Dec,2,1 KO 0 Sub 1 Dec,3,3,1,9,2738,2738,2579,2022-04-23,L - Preston Parsons,2025-04-26,W - Gauge Young,NA,NA
Damian Pinas,2002-03-12,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Aruba, Suriname",male,middleweight,16,NA,16,NA,16,16,1,1,1 KO 0 Sub 0 Dec,0,0 KO 0 Sub 0 Dec,1,1,0,13,2737,2737,2667,2026-02-28,W - Wes Schultz,2026-02-28,W - Wes Schultz,2026-07-11,Cesar Almeida
Aoriqileng,1993-06-25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,China,male,bantamweight,16,NA,16,NA,16,16,9,4,2 KO 0 Sub 2 Dec,4,1 KO 0 Sub 3 Dec,1,2,2,9.9,2736,2736,2666,2021-04-24,L - Jeff Molina,2025-10-18,W - Cody Gibson,2026-05-30,Cody Haddon
Jose Ochoa,2000-12-31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Peru,male,flyweight,16,NA,16,NA,16,16,4,2,1 KO 0 Sub 1 Dec,2,0 KO 0 Sub 2 Dec,1,1,1,9.5,2736,2736,2739,2024-11-23,L - Lone'er Kavanagh,2026-05-09,W - Clayton Carpenter,NA,NA
John Castaneda,1991-12-18,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,"featherweight, bantamweight",16,NA,16,NA,16,16,9,4,1 KO 1 Sub 2 Dec,4,1 KO 0 Sub 3 Dec,0,2,1,9.7,2736,2928,2764,2020-07-25,L - Nathaniel Wood,2026-04-18,D - Mark Vologdin,NA,NA
Andre Fili,1990-06-25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,featherweight,16,NA,16,NA,15,16,26,13,4 KO 0 Sub 9 Dec,12,3 KO 3 Sub 6 Dec,-1,2,3,5.7,2734,2966,2768,2013-10-19,W - Jeremy Larsen,2026-03-14,L - Jose Delgado,NA,NA
Ismael Bonfim,1995-12-28,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,lightweight,16,NA,16,NA,16,16,5,2,1 KO 0 Sub 1 Dec,3,2 KO 1 Sub 0 Dec,-2,1,1,7.4,2733,3013,2825,2023-01-21,W - Terrance McKinney,2025-11-08,L - Chris Padilla,NA,NA
Cody Haddon,1998-09-08,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Australia,male,bantamweight,16,NA,16,NA,16,16,1,1,0 KO 0 Sub 1 Dec,0,0 KO 0 Sub 0 Dec,1,1,0,11,2732,2732,2660,2024-10-12,W - Dan Argueta,2024-10-12,W - Dan Argueta,2026-05-30,Aoriqileng
Robert Ruchala,1998-05-15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Poland,male,featherweight,16,NA,16,NA,16,16,2,0,0 KO 0 Sub 0 Dec,2,0 KO 0 Sub 2 Dec,-2,-1,0,6,2732,2851,2806,2025-09-06,L - William Gomis,2026-04-04,L - Jose Delano,NA,NA
Jean-Paul Lebosnoyani,1999-01-27,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,welterweight,16,NA,16,NA,16,16,1,1,0 KO 0 Sub 1 Dec,0,0 KO 0 Sub 0 Dec,1,1,0,12,2732,2732,2716,2026-02-21,W - Phil Rowe,2026-02-21,W - Phil Rowe,NA,NA
Tommy McMillen,1997-12-15,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,featherweight,16,NA,16,NA,16,16,1,1,1 KO 0 Sub 0 Dec,0,0 KO 0 Sub 0 Dec,1,1,1,5,2731,2731,2422,2026-04-04,W - Manolo Zecchini,2026-04-04,W - Manolo Zecchini,NA,NA
Victor Valenzuela,1994-02-09,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Chile,male,welterweight,16,NA,16,NA,16,16,1,1,0 KO 0 Sub 1 Dec,0,0 KO 0 Sub 0 Dec,1,1,0,12,2730,2730,2810,2026-04-25,W - Max Griffin,2026-04-25,W - Max Griffin,NA,NA
Taiyilake Nueraji,2001-01-12,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,China,male,welterweight,16,NA,16,NA,16,16,1,1,1 KO 0 Sub 0 Dec,0,0 KO 0 Sub 0 Dec,1,1,0,5,2724,2724,2404,2025-08-23,W - Kiefer Crosbie,2025-08-23,W - Kiefer Crosbie,NA,NA
Austin Vanderford,1990-03-21,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,welterweight,16,NA,16,NA,16,16,2,1,1 KO 0 Sub 0 Dec,1,0 KO 1 Sub 0 Dec,-1,1,0,11.5,2722,2867,2696,2025-02-22,W - Nikolay Veretennikov,2025-10-04,L - Ramiz Brahimaj,NA,NA
